name,nickname
トリッキークロス,クロス
ハーミットシェーカー,シェーカー
雪おしろい,おしろい
月つやべに,つやべに
花かんざし,かんざし
フォーマル・リーブス,リーブス
ダンディ・ラビット,ラビット
ノーヴル・クロック,クロック
青苧糸,糸
無縁塩,塩
陣立味噌,味噌
ラッキーダイス,ダイス
ミラクルトランプ,トランプ
ドリームチップ,チップ
ワイルドポテトV,ポテト
ストロングドッグZERO,ドッグ
Ｗマッスルバーガー,バーガー
AUOくじ2019,くじ
銅のセイバーバッヂ,銅バッヂ
銀のセイバーバッヂ,銀バッヂ
金のセイバーバッヂ,金バッヂ
アルトリウム,
慈愛の包帯,包帯
奉仕の体温計,体温計
真心の枕,枕
聖夜の絆創膏,絆創膏
出会いの風車,風車
集いの手毬,手毬
夜すがらの扇,扇
怪しい麦袋,麦袋
不気味な薬草,薬草
疑惑のハチミツ,ハチミツ
マーカーハウス,
ポイントジェム,
ライフカウンター,
シーニック・ビューティー,礼装
見上げた空の星に,礼装
錦上添花,礼装
次期当主会議,礼装
ベスティア・デル・ソル,礼装
双つ星の歌姫,礼装
概念礼装EXPカード：はじめてのカレー,★4EXP礼装
概念礼装EXPカード：謎の物質γ,★3EXP礼装
クリスマスの軌跡,礼装
